fID,pfID,filePath,pointedFilePath
/sys/class/misc/fuse,/sys/devices/virtual/misc/fuse,/sys/class/misc/fuse,/sys/devices/virtual/misc/fuse
/sys/class/misc/cuse,/sys/devices/virtual/misc/cuse,/sys/class/misc/cuse,/sys/devices/virtual/misc/cuse
/sys/class/misc/uinput,/sys/devices/virtual/misc/uinput,/sys/class/misc/uinput,/sys/devices/virtual/misc/uinput
/sys/class/misc/network_throughput,/sys/devices/virtual/misc/network_throughput,/sys/class/misc/network_throughput,/sys/devices/virtual/misc/network_throughput
/sys/class/misc/cpu_dma_latency,/sys/devices/virtual/misc/cpu_dma_latency,/sys/class/misc/cpu_dma_latency,/sys/devices/virtual/misc/cpu_dma_latency
/sys/class/misc/device-mapper,/sys/devices/virtual/misc/device-mapper,/sys/class/misc/device-mapper,/sys/devices/virtual/misc/device-mapper
/sys/class/misc/hw_random,/sys/devices/virtual/misc/hw_random,/sys/class/misc/hw_random,/sys/devices/virtual/misc/hw_random
/sys/class/misc/network_latency,/sys/devices/virtual/misc/network_latency,/sys/class/misc/network_latency,/sys/devices/virtual/misc/network_latency
/sys/class/ata_link/link1,/sys/devices/pci0000:00/0000:00:02.0/ata1/link1/ata_link/link1,/sys/class/ata_link/link1,/sys/devices/pci0000:00/0000:00:02.0/ata1/link1/ata_link/link1
/sys/class/ata_link/link18,/sys/devices/pci0000:00/0000:00:05.0/ata18/link18/ata_link/link18,/sys/class/ata_link/link18,/sys/devices/pci0000:00/0000:00:05.0/ata18/link18/ata_link/link18
/sys/class/ata_link/link16,/sys/devices/pci0000:00/0000:00:05.0/ata16/link16/ata_link/link16,/sys/class/ata_link/link16,/sys/devices/pci0000:00/0000:00:05.0/ata16/link16/ata_link/link16
/sys/class/ata_link/link8,/sys/devices/pci0000:00/0000:00:04.0/ata8/link8/ata_link/link8,/sys/class/ata_link/link8,/sys/devices/pci0000:00/0000:00:04.0/ata8/link8/ata_link/link8
/sys/class/ata_link/link24,/sys/devices/pci0000:00/0000:00:06.0/ata24/link24/ata_link/link24,/sys/class/ata_link/link24,/sys/devices/pci0000:00/0000:00:06.0/ata24/link24/ata_link/link24
/sys/class/ata_link/link14,/sys/devices/pci0000:00/0000:00:05.0/ata14/link14/ata_link/link14,/sys/class/ata_link/link14,/sys/devices/pci0000:00/0000:00:05.0/ata14/link14/ata_link/link14
/sys/class/ata_link/link6,/sys/devices/pci0000:00/0000:00:02.0/ata6/link6/ata_link/link6,/sys/class/ata_link/link6,/sys/devices/pci0000:00/0000:00:02.0/ata6/link6/ata_link/link6
/sys/class/ata_link/link22,/sys/devices/pci0000:00/0000:00:06.0/ata22/link22/ata_link/link22,/sys/class/ata_link/link22,/sys/devices/pci0000:00/0000:00:06.0/ata22/link22/ata_link/link22
/sys/class/ata_link/link12,/sys/devices/pci0000:00/0000:00:04.0/ata12/link12/ata_link/link12,/sys/class/ata_link/link12,/sys/devices/pci0000:00/0000:00:04.0/ata12/link12/ata_link/link12
/sys/class/ata_link/link4,/sys/devices/pci0000:00/0000:00:02.0/ata4/link4/ata_link/link4,/sys/class/ata_link/link4,/sys/devices/pci0000:00/0000:00:02.0/ata4/link4/ata_link/link4
/sys/class/ata_link/link20,/sys/devices/pci0000:00/0000:00:06.0/ata20/link20/ata_link/link20,/sys/class/ata_link/link20,/sys/devices/pci0000:00/0000:00:06.0/ata20/link20/ata_link/link20
/sys/class/ata_link/link10,/sys/devices/pci0000:00/0000:00:04.0/ata10/link10/ata_link/link10,/sys/class/ata_link/link10,/sys/devices/pci0000:00/0000:00:04.0/ata10/link10/ata_link/link10
/sys/class/ata_link/link2,/sys/devices/pci0000:00/0000:00:02.0/ata2/link2/ata_link/link2,/sys/class/ata_link/link2,/sys/devices/pci0000:00/0000:00:02.0/ata2/link2/ata_link/link2
/sys/class/ata_link/link19,/sys/devices/pci0000:00/0000:00:06.0/ata19/link19/ata_link/link19,/sys/class/ata_link/link19,/sys/devices/pci0000:00/0000:00:06.0/ata19/link19/ata_link/link19
