fid,inode,dev,ftype,op,gp,tp,numoflinks,uid,size,ctime,mtime,name,abspath
2785,3148580,112,-,6,4,4,1,0,5465,1581368668.729081,1581368667.0,_exceptions.cpython-36.pyc,/usr/lib/python3.6/xml/sax/__pycache__/_exceptions.cpython-36.pyc
2786,3148582,112,-,6,4,4,1,0,12313,1581368668.729081,1581368667.0,handler.cpython-36.pyc,/usr/lib/python3.6/xml/sax/__pycache__/handler.cpython-36.pyc
2787,3148579,112,-,6,4,4,1,0,3160,1581368668.729081,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/xml/sax/__pycache__/__init__.cpython-36.pyc
2788,3148584,112,-,6,4,4,1,0,16922,1581368668.7300808,1581368667.0,xmlreader.cpython-36.pyc,/usr/lib/python3.6/xml/sax/__pycache__/xmlreader.cpython-36.pyc
2789,3148583,112,-,6,4,4,1,0,12807,1581368668.7300808,1581368667.0,saxutils.cpython-36.pyc,/usr/lib/python3.6/xml/sax/__pycache__/saxutils.cpython-36.pyc
2790,3148581,112,-,6,4,4,1,0,12393,1581368668.729081,1581368667.0,expatreader.cpython-36.pyc,/usr/lib/python3.6/xml/sax/__pycache__/expatreader.cpython-36.pyc
2791,3148539,112,-,6,4,4,1,0,684,1581368668.7170808,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/xml/__pycache__/__init__.cpython-36.pyc
2792,3147779,112,d,7,5,5,2,0,4096,1581368668.8560808,1581368667.0,__pycache__,/usr/lib/python3.6/ctypes/__pycache__
2793,3147784,112,-,6,4,4,1,0,2000,1581368668.4650807,1573123442.0,_endian.py,/usr/lib/python3.6/ctypes/_endian.py
2794,3147785,112,-,6,4,4,1,0,12374,1581368668.4650807,1573123442.0,util.py,/usr/lib/python3.6/ctypes/util.py
2795,3147778,112,-,6,4,4,1,0,16759,1581368668.4640808,1573123442.0,__init__.py,/usr/lib/python3.6/ctypes/__init__.py
2796,3147786,112,-,6,4,4,1,0,5628,1581368668.466081,1573123442.0,wintypes.py,/usr/lib/python3.6/ctypes/wintypes.py
2797,3147783,112,-,6,4,4,1,0,5095,1581368668.4650807,1581368667.0,wintypes.cpython-36.pyc,/usr/lib/python3.6/ctypes/__pycache__/wintypes.cpython-36.pyc
2798,3147782,112,-,6,4,4,1,0,7296,1581368668.4650807,1581368667.0,util.cpython-36.pyc,/usr/lib/python3.6/ctypes/__pycache__/util.cpython-36.pyc
2799,3147781,112,-,6,4,4,1,0,1924,1581368668.4650807,1581368667.0,_endian.cpython-36.pyc,/usr/lib/python3.6/ctypes/__pycache__/_endian.cpython-36.pyc
2800,3147780,112,-,6,4,4,1,0,16060,1581368668.4640808,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/ctypes/__pycache__/__init__.cpython-36.pyc
2801,3148368,112,d,7,5,5,2,0,4096,1581368668.8570807,1581368667.0,__pycache__,/usr/lib/python3.6/sqlite3/__pycache__
2802,3148367,112,-,6,4,4,1,0,1018,1581368668.6740808,1573123442.0,__init__.py,/usr/lib/python3.6/sqlite3/__init__.py
2803,3148372,112,-,6,4,4,1,0,2687,1581368668.6740808,1573123442.0,dbapi2.py,/usr/lib/python3.6/sqlite3/dbapi2.py
2804,3148373,112,-,6,4,4,1,0,2825,1581368668.6740808,1573123442.0,dump.py,/usr/lib/python3.6/sqlite3/dump.py
2805,3148370,112,-,6,4,4,1,0,2471,1581368668.6740808,1581368667.0,dbapi2.cpython-36.pyc,/usr/lib/python3.6/sqlite3/__pycache__/dbapi2.cpython-36.pyc
2806,3148369,112,-,6,4,4,1,0,152,1581368668.6740808,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/sqlite3/__pycache__/__init__.cpython-36.pyc
2807,3148371,112,-,6,4,4,1,0,1914,1581368668.6740808,1581368667.0,dump.cpython-36.pyc,/usr/lib/python3.6/sqlite3/__pycache__/dump.cpython-36.pyc
2808,3147802,112,d,7,5,5,2,0,4096,1581368668.8560808,1581368667.0,__pycache__,/usr/lib/python3.6/dbm/__pycache__
2809,3147808,112,-,6,4,4,1,0,186,1581368668.4700809,1573123442.0,gnu.py,/usr/lib/python3.6/dbm/gnu.py
2810,3147809,112,-,6,4,4,1,0,70,1581368668.4700809,1573123442.0,ndbm.py,/usr/lib/python3.6/dbm/ndbm.py
2811,3147801,112,-,6,4,4,1,0,5783,1581368668.4680808,1573123442.0,__init__.py,/usr/lib/python3.6/dbm/__init__.py
2812,3147807,112,-,6,4,4,1,0,11989,1581368668.4700809,1573123442.0,dumb.py,/usr/lib/python3.6/dbm/dumb.py
2813,3147804,112,-,6,4,4,1,0,8213,1581368668.469081,1581368667.0,dumb.cpython-36.pyc,/usr/lib/python3.6/dbm/__pycache__/dumb.cpython-36.pyc
2814,3147803,112,-,6,4,4,1,0,4169,1581368668.469081,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/dbm/__pycache__/__init__.cpython-36.pyc
2815,3147805,112,-,6,4,4,1,0,323,1581368668.469081,1581368667.0,gnu.cpython-36.pyc,/usr/lib/python3.6/dbm/__pycache__/gnu.cpython-36.pyc
2816,3147806,112,-,6,4,4,1,0,194,1581368668.4700809,1581368667.0,ndbm.cpython-36.pyc,/usr/lib/python3.6/dbm/__pycache__/ndbm.cpython-36.pyc
2817,3147886,112,d,7,5,5,2,0,4096,1581368668.8570807,1581368665.0,__pycache__,/usr/lib/python3.6/encodings/__pycache__
2818,3148041,112,-,6,4,4,1,0,34105,1581368668.515081,1573123442.0,cp850.py,/usr/lib/python3.6/encodings/cp850.py
2819,3148064,112,-,6,4,4,1,0,1031,1581368668.522081,1573123442.0,gb18030.py,/usr/lib/python3.6/encodings/gb18030.py
2820,3148026,112,-,6,4,4,1,0,13511,1581368668.5110807,1573123442.0,cp1252.py,/usr/lib/python3.6/encodings/cp1252.py
2821,3148083,112,-,6,4,4,1,0,13212,1581368668.5240808,1573123442.0,iso8859_15.py,/usr/lib/python3.6/encodings/iso8859_15.py
2822,3148076,112,-,6,4,4,1,0,1069,1581368668.5230808,1573123442.0,iso2022_jp_ext.py,/usr/lib/python3.6/encodings/iso2022_jp_ext.py
2823,3148016,112,-,6,4,4,1,0,1039,1581368668.5100808,1573123442.0,big5hkscs.py,/usr/lib/python3.6/encodings/big5hkscs.py
2824,3148033,112,-,6,4,4,1,0,14132,1581368668.5130808,1573123442.0,cp273.py,/usr/lib/python3.6/encodings/cp273.py
2825,3148107,112,-,6,4,4,1,0,13480,1581368668.5300808,1573123442.0,mac_roman.py,/usr/lib/python3.6/encodings/mac_roman.py
2826,3148080,112,-,6,4,4,1,0,12335,1581368668.5230808,1573123442.0,iso8859_11.py,/usr/lib/python3.6/encodings/iso8859_11.py
2827,3148038,112,-,6,4,4,1,0,13686,1581368668.5140808,1573123442.0,cp720.py,/usr/lib/python3.6/encodings/cp720.py
2828,3148088,112,-,6,4,4,1,0,13015,1581368668.525081,1573123442.0,iso8859_5.py,/usr/lib/python3.6/encodings/iso8859_5.py
2829,3148074,112,-,6,4,4,1,0,1073,1581368668.5230808,1573123442.0,iso2022_jp_2004.py,/usr/lib/python3.6/encodings/iso2022_jp_2004.py
2830,3148132,112,-,6,4,4,1,0,1005,1581368668.5340807,1573123442.0,utf_8.py,/usr/lib/python3.6/encodings/utf_8.py
2831,3148024,112,-,6,4,4,1,0,13686,1581368668.5110807,1573123442.0,cp1250.py,/usr/lib/python3.6/encodings/cp1250.py
2832,3148124,112,-,6,4,4,1,0,1196,1581368668.5330808,1573123442.0,unicode_internal.py,/usr/lib/python3.6/encodings/unicode_internal.py
2833,3148030,112,-,6,4,4,1,0,12814,1581368668.512081,1573123442.0,cp1256.py,/usr/lib/python3.6/encodings/cp1256.py
